day-,Temperature,Water Table,Soil Moisture,Rainfall
1,"30,9","-0,4335104895","61,74685315","0,005944055944"
2,"33,4","-0,4598321678","60,97482517",0
3,"28,5","-0,4845174825","59,86433566",0
4,"29,9","-0,5095211268","58,95985915",0
5,"31,7","-0,5317464789","58,32535211",0
6,"29,9","-0,5414265734","58,88881119","0,01153846154"
7,"31,9","-0,5513380282","58,36338028",0
8,"34,1","-0,5672517483","58,26013986","0,01223776224"
9,35,"-0,5741714286","58,41642857",0
10,"33,6","-0,5637801418","58,62056738","0,02695035461"
11,"34,9","-0,5452428571","58,44642857","0,0003571428571"
12,"35,6","-0,5785347222","57,79305556",0
13,"35,1","-0,6034335664","57,3958042","0,0003496503497"
14,"34,4","-0,6200979021","57,01608392","0,004195804196"
15,"33,3","-0,6371398601","56,8951049","0,009440559441"
16,"32,6","-0,6222464789","59,02183099","0,0264084507"
17,"34,6","-0,5775972222","58,86597222","0,009375"
18,"33,9","-0,5898680556","58,64027778","0,0006944444444"
19,"33,2","-0,6111538462","57,63986014",0
20,"33,8","-0,6010486111","58,33958333","0,04166666667"
21,"34,2","-0,5494305556","58,67361111",0
22,"33,8","-0,5580625","58,61805556","0,03784722222"
23,"34,5","-0,5196041667","58,74861111","0,0003472222222"
24,"35,6","-0,5609861111","57,84722222","0,001041666667"
25,"32,3","-0,5894545455","57,37832168","0,0003496503497"
26,"33,6","-0,6126666667","56,96736111",0
27,34,"-0,6344751773","56,60283688",0
28,"32,9","-0,5214055944","59,8027972","0,07972027972"
29,"31,6","-0,4948085106","59,44680851","0,002836879433"
30,"34,6","-0,5378181818","58,85664336","0,01258741259"
31,"33,5","-0,5585208333","58,325",0
32,33,"-0,5816713287","57,7958042","0,003846153846"
33,"33,9","-0,6061126761","57,37746479",0
34,"35,2","-0,6234825175","56,81538462","0,001048951049"
35,"34,4","-0,645","56,63680556",0
36,35,"-0,6624236111","56,62222222","0,02430555556"
37,"34,7","-0,6136433566","58,35524476","0,005944055944"
38,32,"-0,6341944444","56,89722222",0
39,"33,4","-0,6574507042","56,54788732","0,001408450704"
40,"30,3","-0,6770694444","56,4","0,0003472222222"
41,"34,6","-0,6952553191","56,06099291",0
42,"36,3","-0,7118732394","55,74225352",0
43,34,"-0,72425","55,58402778","0,01736111111"
44,"34,3","-0,7166","56,29285714","0,0003571428571"
45,"34,5","-0,7341702128","55,73617021",0
46,"34,6","-0,7470909091","55,33776224",0
47,"33,7","-0,7591478873","55,07042254",0
48,"33,4","-0,7567394366","55,37464789","0,05563380282"
49,33,"-0,5965244755","58,35524476","0,01748251748"
50,33,"-0,5982083333","57,68888889","0,005902777778"
51,"34,6","-0,6189513889","57,12083333",0
52,"34,4","-0,6431468531","56,25734266",0
53,"33,8","-0,6688450704","55,69014085",0
54,"33,2","-0,6909652778","55,22777778",0
55,34,"-0,712584507","54,9084507",0
56,"34,2","-0,7321048951","54,66293706",0
57,"34,3","-0,750979021","54,47552448",0
58,"33,5","-0,7685206612","54,19917355",0
59,"34,4","-0,7870857143","53,83",0
60,"34,3","-0,7948421053","53,78421053",0
61,"34,6","-0,8155793651","53,23333333",0
62,"34,7","-0,8267430556","52,95555556",0
63,"34,5","-0,8404892086","52,74316547",0
64,"34,3","-0,8541048387","52,33467742","0,001612903226"
65,33,"-0,8623230769","52,31307692","0,006923076923"
66,"32,3","-0,8707282609","52,27282609","0,0005434782609"
67,"33,9","-0,8788308824","52,03676471",0
68,"31,5","-0,8882291667","51,95416667",0
69,"33,7","-0,8966736111","51,63333333",0
70,"33,7","-0,9063453237","51,31870504",0
71,"32,9","-0,9160833333","51,03333333",0
72,"34,5","-0,9272695035","50,69858156",0
73,"32,5","-0,939822695","50,29574468","0,004964539007"
74,34,"-0,9503687943","49,98510638",0
75,34,"-0,9452446043","51,26834532","0,03489208633"
76,"29,9","-0,8508156028","53,93900709","0,01241134752"
77,"33,2","-0,7907794118","54,00073529",0
78,34,"-0,8018794326","52,7106383",0
79,"32,2","-0,8154113475","52,02695035",0
80,"31,6","-0,8274275362","51,50144928",0
81,"28,2","-0,8375","51,13571429","0,0007142857143"
82,"31,9","-0,7979214286","52,12","0,04357142857"
83,"34,1","-0,6196573427","54,85314685","0,0003496503497"
84,34,"-0,6754587156","53,08256881",0
85,"34,4","-0,7084195804","52,32937063",0
86,"33,7","-0,7347272727","51,86643357",0
87,"34,5","-0,7586783217","51,42797203",0
88,"34,3","-0,7797709924","51,03740458",0
