Date,Water Table,Soil Moisture,Rainfall,Temperature
2014-01-01,-0.589,54.74,21.16,34.05
2014-02-01,-0.494,58.15,28.45,34.22
2014-03-01,-0.399,61.53,33.14,33.63
2014-04-01,-0.317,64.31,34.26,32.60
2014-05-01,-0.300,65.04,31.83,30.91
2014-06-01,-0.291,64.92,26.65,29.52
2014-07-01,-0.390,61.75,19.99,28.42
2014-08-01,-0.475,58.59,13.34,27.55
2014-09-01,-0.628,53.84,8.16,28.13
2014-10-01,-0.693,51.44,5.74,29.59
2014-11-01,-0.740,50.04,6.88,31.00
2014-12-01,-0.684,51.66,11.59,32.64
2015-01-01,-0.596,54.57,18.88,33.72
2015-02-01,-0.492,58.19,26.88,33.99
2015-03-01,-0.382,61.93,33.25,33.96
2015-04-01,-0.334,63.92,35.97,32.79
2015-05-01,-0.279,65.52,34.06,30.79
2015-06-01,-0.325,64.13,28.00,29.35
2015-07-01,-0.363,62.38,19.62,28.26
2015-08-01,-0.499,58.01,11.49,27.80
2015-09-01,-0.597,54.55,6.00,28.42
2015-10-01,-0.709,51.07,4.63,29.30
2015-11-01,-0.731,50.23,7.50,30.75
2015-12-01,-0.693,51.45,13.54,32.79
2016-01-01,-0.605,54.36,20.93,33.90
2016-02-01,-0.476,58.57,27.74,34.11
2016-03-01,-0.397,61.58,32.40,33.78
2016-04-01,-0.304,64.62,33.96,32.46
2016-05-01,-0.310,64.80,32.16,31.02
2016-06-01,-0.302,64.67,27.39,29.68
2016-07-01,-0.395,61.64,20.67,28.10
2016-08-01,-0.475,58.57,13.53,27.60
2016-09-01,-0.608,54.30,7.74,28.35
2016-10-01,-0.696,51.39,4.99,29.43
2016-11-01,-0.732,50.22,6.27,31.07
2016-12-01,-0.707,51.12,11.51,32.64
2017-01-01,-0.594,54.62,19.38,33.51
2017-02-01,-0.499,58.03,27.63,34.24
2017-03-01,-0.365,62.34,33.78,34.04
2017-04-01,-0.328,64.06,35.95,32.49
2017-05-01,-0.280,65.49,33.50,30.91
2017-06-01,-0.333,63.96,27.26,29.40
2017-07-01,-0.380,61.99,19.18,28.17
2017-08-01,-0.491,58.22,11.61,28.01
2017-09-01,-0.598,54.54,6.61,28.28
2017-10-01,-0.687,51.59,5.33,29.10
2017-11-01,-0.741,50.00,7.85,31.05
2017-12-01,-0.692,51.47,13.31,32.77
2018-01-01,-0.625,53.90,20.28,33.74
2018-02-01,-0.473,58.63,27.09,34.24
2018-03-01,-0.391,61.73,32.15,33.64
2018-04-01,-0.294,64.86,34.27,32.48
2018-05-01,-0.302,64.99,32.82,31.29
2018-06-01,-0.317,64.32,27.98,29.43
2018-07-01,-0.397,61.59,20.82,28.00
2018-08-01,-0.491,58.20,13.14,27.83
2018-09-01,-0.589,54.73,7.08,28.24
2018-10-01,-0.695,51.41,4.47,29.46
2018-11-01,-0.716,50.58,6.22,31.15
2018-12-01,-0.720,50.82,11.95,32.37
2019-01-01,-0.602,54.44,20.03,33.65
2019-02-01,-0.507,57.85,28.06,34.46
2019-03-01,-0.363,62.39,33.73,33.78
2019-04-01,-0.311,64.46,35.45,32.52
2019-05-01,-0.281,65.48,32.88,30.99
2019-06-01,-0.326,64.12,26.92,29.26
2019-07-01,-0.402,61.46,19.32,28.38
2019-08-01,-0.488,58.28,12.15,27.99
2019-09-01,-0.606,54.34,7.19,27.98
2019-10-01,-0.667,52.06,5.59,29.32
2019-11-01,-0.738,50.07,7.63,31.15
2019-12-01,-0.690,51.52,12.76,32.60
2020-01-01,-0.635,53.66,19.76,33.86
2020-02-01,-0.486,58.32,26.92,34.13
2020-03-01,-0.385,61.88,32.45,33.54
2020-04-01,-0.293,64.88,34.82,32.80
2020-05-01,-0.280,65.49,33.27,31.17
2020-06-01,-0.327,64.09,28.05,29.22
2020-07-01,-0.395,61.64,20.47,28.20
2020-08-01,-0.513,57.70,12.60,27.78
2020-09-01,-0.584,54.86,6.70,28.24
2020-10-01,-0.692,51.48,4.49,29.63
2020-11-01,-0.703,50.90,6.62,30.88
2020-12-01,-0.715,50.94,12.47,32.36
2021-01-01,-0.614,54.16,20.33,33.95
2021-02-01,-0.511,57.75,27.97,34.29
2021-03-01,-0.377,62.05,33.30,33.73
2021-04-01,-0.293,64.88,34.98,32.62
2021-05-01,-0.280,65.49,32.66,30.81
2021-06-01,-0.309,64.51,27.09,29.43
2021-07-01,-0.418,61.11,19.76,28.51
2021-08-01,-0.492,58.18,12.57,27.67
2021-09-01,-0.617,54.08,7.32,28.06
2021-10-01,-0.661,52.19,5.35,29.48
2021-11-01,-0.724,50.40,7.18,31.00
2021-12-01,-0.688,51.58,12.40,32.72
2022-01-01,-0.630,53.77,19.71,33.81
2022-02-01,-0.508,57.81,27.21,33.91
2022-03-01,-0.382,61.94,32.87,33.82
2022-04-01,-0.302,64.67,35.11,32.84
2022-05-01,-0.259,66.00,33.24,30.91
2022-06-01,-0.326,64.10,27.73,29.35
2022-07-01,-0.389,61.76,20.07,28.18
2022-08-01,-0.527,57.38,12.38,27.72
2022-09-01,-0.594,54.62,6.80,28.47
2022-10-01,-0.688,51.56,4.83,29.44
2022-11-01,-0.699,50.98,6.98,30.71
2022-12-01,-0.695,51.40,12.60,32.65
2023-01-01,-0.623,53.94,20.16,33.89
2023-02-01,-0.509,57.80,27.61,34.20
2023-03-01,-0.400,61.52,33.00,33.85
2023-04-01,-0.286,65.05,34.92,32.42
2023-05-01,-0.280,65.50,32.89,30.88
2023-06-01,-0.292,64.91,27.44,29.69
2023-07-01,-0.416,61.15,20.01,28.25
2023-08-01,-0.501,57.97,12.55,27.61
